t,x,y,z,r_x,r_y,r_z,f_x,f_y,f_z,u_x,u_y,u_z
0,0,0,0,1,0,0,0,1,0,0,0,1
0.1,0,0,0,1,0,0,0,1,0,0,0,1
0.2,0,1.875,0,1,0,0,0,1,0,0,0,1
0.3,0,5.625,0,1,0,0,0,1,0,0,0,1
0.4,0,11.25,0,1,0,0,0,1,0,0,0,1
0.5,0,18.75,0,1,0,0,0,1,0,0,0,1
0.6,0,28.125,0,1,0,0,0,1,0,0,0,1
0.7,0,39.375,0,1,0,0,0,1,0,0,0,1
0.8,0,52.5,0,1,0,0,0,1,0,0,0,1
0.9,0,67.5,0,1,0,0,0,1,0,0,0,1
1,0,84.375,0,1,0,0,0,1,0,0,0,1
1.1,0,103.125,0,1,0,0,0,1,0,0,0,1
1.2,0,123.75,0,1,0,0,0,1,0,0,0,1
1.3,0,146.25,0,1,0,0,0,1,0,0,0,1
1.4,0,170.625,0,1,0,0,0,1,0,0,0,1
1.5,0,196.875,0,1,0,0,0,1,0,0,0,1
1.6,0,225,0,1,0,0,0,1,0,0,0,1
1.7,0,255,0,1,0,0,0,1,0,0,0,1
1.8,0,286.875,0,1,0,0,0,1,0,0,0,1
1.9,0,320.625,0,1,0,0,0,1,0,0,0,1
2,0,356.25,0,1,0,0,0,1,0,0,0,1
2.1,0,393.75,0,1,0,0,0,1,0,0,0,1
2.2,0,433.125,0,1,0,0,0,1,0,0,0,1
2.3,0,474.375,0,1,0,0,0,1,0,0,0,1
2.4,0,517.5,0,1,0,0,0,1,0,0,0,1
2.5,0,562.5,0,1,0,0,0,1,0,0,0,1
2.6,0,609.375,0,1,0,0,0,1,0,0,0,1
2.7,0,658.125,0,1,0,0,0,1,0,0,0,1
2.8,0,708.75,0,1,0,0,0,1,0,0,0,1
2.9,0,761.25,0,1,0,0,0,1,0,0,0,1
3,0,815.625,0,1,0,0,0,1,0,0,0,1
3.1,0,871.875,0,1,0,0,0,1,0,0,0,1
3.2,0,930,0,1,0,0,0,1,0,0,0,1
3.3,0,990,0,1,0,0,0,1,0,0,0,1
3.4,0,1051.88,0,1,0,0,0,1,0,0,0,1
3.5,0,1115.62,0,1,0,0,0,1,0,0,0,1
3.6,0,1181.25,0,1,0,0,0,1,0,0,0,1
3.7,0,1248.75,0,1,0,0,0,1,0,0,0,1
3.8,0,1316.25,0,1,0,0,0,1,0,0,0,1
3.9,0,1383.75,0,1,0,0,0,1,0,0,0,1
4,0,1451.25,0,1,0,0,0,1,0,0,0,1
4.1,0,1518.75,0,1,0,0,0,1,0,0,0,1
4.2,0,1586.25,0,1,0,0,0,1,0,0,0,1
4.3,0,1653.75,0,1,0,0,0,1,0,0,0,1
4.4,0,1721.25,0,1,0,0,0,1,0,0,0,1
4.5,0,1788.75,0,1,0,0,0,1,0,0,0,1
4.6,0,1856.25,0,1,0,0,0,1,0,0,0,1
4.7,0,1923.75,0,1,0,0,0,1,0,0,0,1
4.8,0,1991.25,0,1,0,0,0,1,0,0,0,1
4.9,0,2058.75,0,1,0,0,0,1,0,0,0,1
5,0,2126.25,0,1,0,0,0,1,0,0,0,1
5.1,0,2193.75,0,1,0,0,0,1,0,0,0,1
5.2,0,2261.25,0,1,0,0,0,1,0,0,0,1
5.3,0,2328.75,0,1,0,0,0,1,0,0,0,1
5.4,0,2396.25,0,1,0,0,0,1,0,0,0,1
5.5,0,2463.75,0,1,0,0,0,1,0,0,0,1
5.6,0,2531.25,0,1,0,0,0,1,0,0,0,1
5.7,0,2598.75,0,1,0,0,0,1,0,0,0,1
5.8,0,2666.25,0,1,0,0,0,1,0,0,0,1
5.9,0,2733.75,0,1,0,0,0,1,0,0,0,1
6,0,2801.25,0,1,0,0,0,1,0,0,0,1
6.1,0,2868.75,0,1,0,0,0,1,0,0,0,1
6.2,0,2936.25,0,1,0,0,0,1,0,0,0,1
6.3,0,3003.75,0,1,0,0,0,1,0,0,0,1
6.4,0,3071.25,0,1,0,0,0,1,0,0,0,1
6.5,0,3138.75,0,1,0,0,0,1,0,0,0,1
6.6,0,3206.25,0,1,0,0,0,1,0,0,0,1
6.7,0,3273.75,0,1,0,0,0,1,0,0,0,1
6.8,0,3341.25,0,1,0,0,0,1,0,0,0,1
6.9,0,3408.75,0,1,0,0,0,1,0,0,0,1
7,0,3476.25,0,1,0,0,0,1,0,0,0,1
7.1,0,3543.75,0,1,0,0,0,1,0,0,0,1
7.2,0,3611.25,0,1,0,0,0,1,0,0,0,1
7.3,0,3678.75,0,1,0,0,0,1,0,0,0,1
7.4,0,3746.25,0,1,0,0,0,1,0,0,0,1
7.5,0,3813.75,0,1,0,0,0,1,0,0,0,1
7.6,0,3881.25,0,1,0,0,0,1,0,0,0,1
7.7,0,3948.75,0,1,0,0,0,1,0,0,0,1
7.79999,0,4016.25,0,1,0,0,0,1,0,0,0,1
7.89999,0,4083.75,0,1,0,0,0,1,0,0,0,1
7.99999,0,4151.25,0,1,0,0,0,1,0,0,0,1
8.09999,0,4218.75,0,1,0,0,0,1,0,0,0,1
8.2,0,4286.25,0,1,0,0,0,1,0,0,0,1
8.3,0,4353.75,0,1,0,0,0,1,0,0,0,1
8.4,0,4421.25,0,1,0,0,0,1,0,0,0,1
8.5,0,4488.75,0,1,0,0,0,1,0,0,0,1
8.6,0,4556.25,0,1,0,0,0,1,0,0,0,1
8.7,0,4623.75,0,1,0,0,0,1,0,0,0,1
8.8,0,4691.25,0,1,0,0,0,1,0,0,0,1
8.9,0,4758.75,0,1,0,0,0,1,0,0,0,1
9,0,4826.25,0,1,0,0,0,1,0,0,0,1
9.1,0,4893.75,0,1,0,0,0,1,0,0,0,1
9.2,0,4961.25,0,1,0,0,0,1,0,0,0,1
9.3,0,5028.75,0,1,0,0,0,1,0,0,0,1
9.4,0,5096.25,0,1,0,0,0,1,0,0,0,1
9.5,0,5163.75,0,1,0,0,0,1,0,0,0,1
9.6,0,5231.25,0,1,0,0,0,1,0,0,0,1
9.7,0,5298.75,0,1,0,0,0,1,0,0,0,1
9.8,0,5366.25,0,1,0,0,0,1,0,0,0,1
9.9,0,5433.75,0,1,0,0,0,1,0,0,0,1
10,0,5501.25,0,1,0,0,0,1,0,0,0,1
10.1,0,5568.75,0,1,0,0,0,1,0,0,0,1
10.2,0,5636.25,0,1,0,0,0,1,0,0,0,1
10.3,0,5703.75,0,1,0,0,0,1,0,0,0,1
10.4,0,5771.25,0,1,0,0,0,1,0,0,0,1
10.5,0,5838.75,0,1,0,0,0,1,0,0,0,1
10.6,0,5906.25,0,1,0,0,0,1,0,0,0,1
10.7,0,5973.75,0,1,0,0,0,1,0,0,0,1
10.8,0,6041.25,0,1,0,0,0,1,0,0,0,1
10.9,0,6108.75,0,1,0,0,0,1,0,0,0,1
11,0,6176.25,0,1,0,0,0,1,0,0,0,1
11.1,0,6243.75,0,1,0,0,0,1,0,0,0,1
11.2,0,6311.25,0,1,0,0,0,1,0,0,0,1
11.3,0,6378.75,0,1,0,0,0,1,0,0,0,1
11.4,0,6446.25,0,1,0,0,0,1,0,0,0,1
11.5,0,6513.75,0,1,0,0,0,1,0,0,0,1
11.6,0,6581.25,0,1,0,0,0,1,0,0,0,1
11.7,0,6648.75,0,1,0,0,0,1,0,0,0,1
11.8,0,6716.25,0,1,0,0,0,1,0,0,0,1
11.9,0,6783.75,0,1,0,0,0,1,0,0,0,1
12,0,6851.25,0,1,0,0,0,1,0,0,0,1
12.1,0,6918.75,0,1,0,0,0,1,0,0,0,1
12.2,0,6986.25,0,1,0,0,0,1,0,0,0,1
12.3,0,7053.75,0,1,0,0,0,1,0,0,0,1
12.4,0,7121.25,0,1,0,0,0,1,0,0,0,1
12.5,0,7188.75,0,1,0,0,0,1,0,0,0,1
12.6,0,7256.25,0,1,0,0,0,1,0,0,0,1
12.7,0,7323.75,0,1,0,0,0,1,0,0,0,1
12.8,0,7391.25,0,1,0,0,0,1,0,0,0,1
12.9,0,7458.75,0,1,0,0,0,1,0,0,0,1
13,0,7526.25,0,1,0,0,0,1,0,0,0,1
13.1,0,7593.75,0,1,0,0,0,1,0,0,0,1
13.2,0,7661.25,0,1,0,0,0,1,0,0,0,1
13.3,0,7728.75,0,1,0,0,0,1,0,0,0,1
13.4,0,7796.25,0,1,0,0,0,1,0,0,0,1
13.5,0,7863.75,0,1,0,0,0,1,0,0,0,1
13.6,0,7931.25,0,1,0,0,0,1,0,0,0,1
13.7,0,7998.75,0,1,0,0,0,1,0,0,0,1
13.8,0,8066.25,0,1,0,0,0,1,0,0,0,1
13.9,0,8133.75,0,1,0,0,0,1,0,0,0,1
14,0,8201.25,0,1,0,0,0,1,0,0,0,1
14.1,0,8268.75,0,1,0,0,0,1,0,0,0,1
14.2,0,8336.25,0,1,0,0,0,1,0,0,0,1
14.3,0,8403.75,0,1,0,0,0,1,0,0,0,1
14.4,0,8471.25,0,1,0,0,0,1,0,0,0,1
14.5,0,8538.75,0,1,0,0,0,1,0,0,0,1
14.6,0,8606.25,0,1,0,0,0,1,0,0,0,1
14.7,0,8673.75,0,1,0,0,0,1,0,0,0,1
14.8,0,8741.25,0,1,0,0,0,1,0,0,0,1
14.9,0,8808.75,0,1,0,0,0,1,0,0,0,1
15,0,8876.25,0,1,0,0,0,1,0,0,0,1
15.1,0,8943.75,0,1,0,0,0,1,0,0,0,1
15.2,0,9011.25,0,1,0,0,0,1,0,0,0,1
15.3,0,9078.75,0,1,0,0,0,1,0,0,0,1
15.4,0,9146.25,0,1,0,0,0,1,0,0,0,1
15.5,0,9213.75,0,1,0,0,0,1,0,0,0,1
15.6,0,9281.25,0,1,0,0,0,1,0,0,0,1
15.7,0,9348.75,0,1,0,0,0,1,0,0,0,1
15.8,0,9416.25,0,1,0,0,0,1,0,0,0,1
15.9,0,9483.75,0,1,0,0,0,1,0,0,0,1
16,0,9551.25,0,1,0,0,0,1,0,0,0,1
16.1,0,9618.75,0,1,0,0,0,1,0,0,0,1
16.2,0,9686.25,0,1,0,0,0,1,0,0,0,1
16.3,0,9753.75,0,1,0,0,0,1,0,0,0,1
16.4,0,9821.25,0,1,0,0,0,1,0,0,0,1
16.5,0,9888.75,0,1,0,0,0,1,0,0,0,1
16.6,0,9956.25,0,1,0,0,0,1,0,0,0,1
16.7,0,10023.8,0,1,0,0,0,1,0,0,0,1
16.8,0,10091.2,0,1,0,0,0,1,0,0,0,1
16.9,0,10158.8,0,1,0,0,0,1,0,0,0,1
17,0,10226.2,0,1,0,0,0,1,0,0,0,1
17.1,0,10293.8,0,1,0,0,0,1,0,0,0,1
17.2,0,10361.2,0,1,0,0,0,1,0,0,0,1
17.3,0,10428.8,0,1,0,0,0,1,0,0,0,1
17.4,0,10496.2,0,1,0,0,0,1,0,0,0,1
17.5,0,10563.8,0,1,0,0,0,1,0,0,0,1
17.6,0,10631.2,0,1,0,0,0,1,0,0,0,1
17.7,0,10698.8,0,1,0,0,0,1,0,0,0,1
